# t MSD MSD_a MSD_b MSD_c MSCD
1000 0.9585807056970016 0.3427195028107172 0.34686079428184474 0.269000408604453 1.2715923252354733
1430 1.0718680912236265 0.37902313654897796 0.38958292276038975 0.30326203191427875 1.52290529746739
1860 1.178075191083125 0.4139981803249854 0.42918496297146075 0.3348920477866841 1.8092387931322103
2290 1.342764935174823 0.47731650779733925 0.4939569728737265 0.3714914545037586 2.100577235540746
2720 1.489535864119103 0.5325703450503453 0.548639663988369 0.40832585508034586 2.3723354053902543
3150 1.5998583046327417 0.5691955936269357 0.5839103081083293 0.4467524028974824 2.6061797954310877
3580 1.7229703080582006 0.6186949345961068 0.6203898821567846 0.4838854913052754 2.806190971053091
4010 1.8720591251032495 0.6798195421008317 0.6691011744706599 0.523138408531723 2.976610251490723
4440 2.0099137438480614 0.7312664483923034 0.7193567879173882 0.5592905075383033 3.1552240494368347
4870 2.123189765401406 0.7709088665679185 0.7559742985877619 0.5963066002456718 3.2748677716896624
5300 2.2426735610614164 0.8201490699778299 0.7928868197376889 0.629637671345894 3.4165505053223226
5730 2.369564966869303 0.8762768879880198 0.8292735828009209 0.6640144960803551 3.5638603926506005
6160 2.5039505019728803 0.9240931014958633 0.8806163319443164 0.6992410685326914 3.7711428006729864
6590 2.623302106147179 0.9666962145790173 0.9235570080348817 0.7330488835333047 3.9644317662598585
7020 2.744208010620004 1.0118210336654507 0.9654491738145659 0.7669378031399412 4.099449059368213
7450 2.8762919758571375 1.0684518329294532 1.002204016333593 0.8056361265940727 4.269850924750852
7880 3.003078663549847 1.119314927381097 1.0440650535378113 0.8396986826308794 4.396882288964273
8310 3.1263572204173253 1.1594970341678208 1.089288006152182 0.877572180097238 4.530522978990967
8740 3.2422761385853507 1.2015394748620387 1.1302524963473197 0.9104841673760042 4.604479691414488
9170 3.3667881611073414 1.2534123537771813 1.1681432677528334 0.9452325395773885 4.674571674009201
9600 3.489909757543768 1.3036475972958037 1.2041944185150315 0.9820677417328911 4.783025223592194
10030 3.611728618677984 1.342621128026771 1.2528396795627494 1.016267811088462 4.842149596959732
10460 3.7287506665548906 1.3824993885341654 1.2935348528881088 1.0527164251326404 4.967127598595254
10890 3.8545840246513126 1.43579251702021 1.330212364975303 1.088579142655802 5.042450856397395
11320 3.976143812022192 1.4868502939658632 1.366775671743899 1.1225178463124992 5.1589856833054455
11750 4.088605431765047 1.5230232294518276 1.4096246569312805 1.1559575453819158 5.27219915069648
12180 4.204552131122608 1.5610009593379164 1.4568330403979204 1.1867181313867172 5.465031060617161
12610 4.334370773020734 1.6104748244274707 1.5007411957384544 1.223154752854702 5.659923046908978
13040 4.465347163574972 1.660162850696064 1.5469065446118553 1.258277768267098 5.846957325597287
13470 4.572819062572763 1.6930363454366473 1.5900763044253947 1.2897064127106392 6.02781877584678
13900 4.691366929916108 1.7331819444476768 1.6378869307217139 1.3202980547467131 6.225821529624793
14330 4.820458734939162 1.782655610389838 1.6828865909893003 1.3549165335599698 6.329707299764456
14760 4.941150269316235 1.8276394068720758 1.7278076622980103 1.3857032001460436 6.447178508108811
15190 5.052039388597558 1.8635355464531012 1.7711244993700996 1.4173793427744417 6.652125937147389
15620 5.164705051521387 1.9028787358378372 1.8132833627613612 1.4485429529221792 6.820699050414459
16050 5.286392019211732 1.9487264210384925 1.853051350142758 1.4846142480305644 6.929956921680315
16480 5.397172960578974 1.9869691028186103 1.8974138734245105 1.5127899843357893 6.969107307678601
16910 5.508491664297413 2.0192147865384698 1.9455731990646767 1.5437036786942968 7.0845405509434904
17340 5.630385841842818 2.062418459460288 1.9875181379651536 1.5804492444173484 7.254852753195032
17770 5.744310905213762 2.1143090051800413 2.0198979194194733 1.6101039806141813 7.460686235558043
18200 5.861397153594492 2.154216356230408 2.0638700184181937 1.643310778945977 7.685192795661175
18630 5.9749110389262565 2.186032911454823 2.1145253142153075 1.67435281325612 7.948182874462509
19060 6.093066951966741 2.229668601820422 2.1564902366097445 1.7069081135365674 8.242845376165151
19490 6.2251453863011585 2.2840669901147894 2.20156450834993 1.7395138878364664 8.536011834867947
19920 6.347206498994197 2.3273726478448378 2.246243645646738 1.773590205502717 8.823472355279721
20350 6.474533146871419 2.3675411630142555 2.304462014253394 1.8025299696036645 9.127524197653424
