# t MSD MSD_a MSD_b MSD_c MSCD
1000 1.3853648664044023 0.5008964603042809 0.4899783117083595 0.394490094391749 1.9567419366003014
1430 1.5937797677738588 0.574626674068778 0.5568684367628058 0.462284656942271 2.3549706546605447
1860 1.827499993119192 0.6608522403430647 0.6455167236860944 0.5211310290900303 2.857470060176662
2290 2.095761646398914 0.7669404243820768 0.744066583871746 0.5847546381450895 3.2983467823300567
2720 2.3073509038961344 0.8432466329708769 0.8178375090697656 0.6462667618555157 3.778897186645675
3150 2.500950081233554 0.9112032144958605 0.8836131442478031 0.7061337224898664 4.167674423079659
3580 2.723098620525177 0.992758535794542 0.9684371203215063 0.7619029644091195 4.572470961904314
4010 2.9415378835564714 1.0730553325016554 1.0504986108623464 0.8179839401924334 5.001252227948386
4440 3.145576179115569 1.150983034259614 1.1171898470864263 0.877403297769497 5.496058675549744
4870 3.3464577926276733 1.2210763519235643 1.1918905682697643 0.9334908724343868 5.948649249689644
5300 3.5726198551764754 1.2989269075670178 1.27962575780192 0.9940671898075727 6.445717835252467
5730 3.7971442711304744 1.383222909851692 1.3615061829805462 1.0524151782982711 6.965398691241028
6160 3.9931764088945516 1.4551158267345774 1.4278752987896468 1.1101852833702806 7.39596571293042
6590 4.187267972533034 1.51999661725171 1.5056190672024976 1.161652288078731 7.839113862458836
7020 4.391750173900016 1.58341994373966 1.5927163910325661 1.2156138391277675 8.297673037671316
7450 4.599353105013981 1.658500835542269 1.6695140911603976 1.2713381783114517 8.752503184254069
7880 4.785238832036196 1.72144448485954 1.740789882109215 1.3230044650674218 9.240831372481766
8310 4.982987279770353 1.786675217893299 1.8248045369347636 1.3715075249423117 9.749392880241205
8740 5.185383117798132 1.8546069547566983 1.9107669756249384 1.4200091874163887 10.29442412971717
9170 5.383205937701677 1.9250603077767363 1.9899778752254722 1.468167754699456 10.930857010436483
9600 5.574733656085607 1.9967670972553482 2.0620192302868405 1.5159473285434164 11.470918433292292
10030 5.775161324015039 2.0656929744858425 2.145882733167055 1.5635856163621127 11.996519754710114
10460 5.970536935205962 2.1340789630431005 2.2270366947035822 1.6094212774592829 12.546666974152295
10890 6.153836407844424 2.19459398910393 2.300793802421502 1.6584486163189291 13.147923268264236
11320 6.352157900093612 2.2667391677552673 2.381736016670887 1.7036827156674337 13.752643527485123
11750 6.5507671994221175 2.3379516840341794 2.4610544630597633 1.7517610523283134 14.300033293234867
12180 6.743487373992813 2.4071909690002 2.5419848442678936 1.7943115607249045 14.831244439055013
12610 6.928104292354556 2.4695332958057894 2.6233992411197677 1.8351717554289269 15.300904485767393
13040 7.123814607577174 2.539687445905309 2.7060574746600388 1.878069687011755 15.7123337921533
13470 7.316043711592596 2.6079106614311542 2.7874118860068413 1.9207211641546036 16.142159293753416
13900 7.5038856336491335 2.6769282149653812 2.8660677595159427 1.9608896591680522 16.521605214190263
14330 7.69879852012212 2.742794494791406 2.954436230492962 2.0015677948378734 16.96272875871397
14760 7.90466462452531 2.817513475130665 3.04188173136856 2.0452694180261157 17.360192182154194
15190 8.083362794010508 2.875261061769137 3.1236137855066595 2.0844879467347663 17.813233235873927
15620 8.263279084523957 2.9365082406721674 3.1987869014377397 2.127983942414293 18.25258353774785
16050 8.45603204066062 3.004307424096994 3.2796869321975177 2.172037684366127 18.73803777227175
16480 8.649666320827304 3.0781838276331515 3.3583786922868932 2.2131038009072785 19.18139273208357
16910 8.839503240315208 3.145764062026047 3.4410942277056216 2.2526449505834476 19.517596844085514
17340 9.031532631623465 3.210145531405848 3.5276510251991877 2.2937360750186753 19.985107292904743
17770 9.220052012498213 3.279225802336926 3.6051110768141776 2.335715133347318 20.421135694077694
18200 9.414325907739546 3.3559979763696344 3.6810266959740865 2.377301235396193 20.81252724328434
18630 9.623447733825765 3.4346951894870212 3.769754470725507 2.418998073613203 21.200422670105553
19060 9.804685373847706 3.5018774957940617 3.8444973678915035 2.4583105101619873 21.537706943096698
19490 9.992965515096614 3.573306951784292 3.9248573570668825 2.4948012062455316 21.97350708522493
19920 10.191172122412508 3.651743817002059 4.004153976435936 2.5352743289745776 22.374267998706657
20350 10.387836614906975 3.7276501513926616 4.084229677862277 2.575956785651857 22.740984022582992
20780 10.564220446717696 3.795041492036145 4.156013291509929 2.61316566317171 23.053766162603395
21210 10.75386805469601 3.8748939019555637 4.226765578633818 2.652208574106598 23.27148316547598
21640 10.959614358056003 3.9583460863657973 4.306055250958833 2.6952130207315044 23.594997473075498
22070 11.145793761186916 4.0276782879879605 4.38324787344464 2.734867599754185 23.995295604023305
22500 11.334695019759977 4.097547009143927 4.4609561805116895 2.7761918301040067 24.4996904466715
22930 11.536369594689312 4.182035806202252 4.53764288701629 2.8166909014708232 25.00543581376379
23360 11.743043181385444 4.263646830172282 4.6179131863742935 2.861483164839358 25.419246222931836
23790 11.94593379766985 4.3442557101103825 4.6953874067369625 2.9062906808225706 25.88276325334789
24220 12.144948263107143 4.422577689182125 4.770653449162058 2.951717124762717 26.468231895499834
24650 12.335962290168055 4.49776720683074 4.844160917302401 2.994034166034882 26.97487025445849
25080 12.529525901689276 4.569601327531374 4.922146809137254 3.0377777650206794 27.493585460419055
25510 12.72772888841436 4.641806461126387 5.00277384200725 3.0831485852805245 28.069120084308693
25940 12.91192919522107 4.706662510002226 5.078962100870378 3.126304584348206 28.662694160353677
26370 13.09913910967739 4.779805999766444 5.147519541239601 3.1718135686715807 29.30118693398083
26800 13.295166650677448 4.852816660769749 5.222738708478597 3.2196112814292737 29.972024694163466
27230 13.482861690979416 4.921478719967586 5.293885730053523 3.2674972409585603 30.691274820339995
27660 13.662157034436184 4.988858765446532 5.3651110392722305 3.308187229717628 31.5499768539692
28090 13.85296400500667 5.0591544224540295 5.440729035796697 3.353080546756229 32.272738777146806
28520 14.04702093603142 5.133026724520259 5.519827999523346 3.3941662119880602 32.88003714210143
28950 14.234582803008793 5.200188206562032 5.5915965864865615 3.442798009960239 33.522613249020296
29380 14.396810053830313 5.25586732969691 5.657752711343867 3.48319001278959 34.11925111741464
29810 14.585552424417664 5.317245833060679 5.7403543243086785 3.52795226704872 34.68869759199015
30240 14.772699148728732 5.3817871669116455 5.820747728998494 3.570164252818547 35.289392156679945
30670 14.939850705670226 5.441712659685646 5.888150136881945 3.6099879091025677 35.843467432885696
31100 15.118823119812237 5.498457971151203 5.962424866940204 3.6579402817207898 36.41466498596899
31530 15.304541681311902 5.5529713023470855 6.0475593585811325 3.704011020383609 37.08562910094983
31960 15.49386859268107 5.621708003031465 6.117943781741332 3.7542168079079676 37.86113729253145
32390 15.675958836772686 5.681325364628915 6.1944452790064695 3.800188193137106 38.617810431944804
32820 15.853075893840588 5.7333294110032424 6.27617959479111 3.8435668880466984 39.50575763960121
33250 16.056688541011354 5.794259696397979 6.366752172277887 3.89567667233535 40.29156945054874
33680 16.251304683553098 5.855339551297534 6.453775554393756 3.942189577861853 41.1739940711937
34110 16.439394080799207 5.920395345521068 6.528091226718709 3.9909075085595127 41.94134560497735
34540 16.64111526970585 5.988835188163214 6.614513204646448 4.037766876896394 42.69240890816764
34970 16.824623199931334 6.050912505567163 6.694864513306547 4.078846181057182 43.47255437083672
35400 17.01679406875958 6.122852720293562 6.772243181078814 4.121698167387246 44.155402216981585
35830 17.1989727159552 6.189011384922785 6.849352517683121 4.160608813349525 44.77650635596108
36260 17.389625401508283 6.258486437279536 6.9251493455533915 4.205989618675127 45.47481852014817
36690 17.573429183675195 6.319722507679336 7.003101041045158 4.250605634950626 46.2038800374301
37120 17.752756389059638 6.384399148793033 7.07202853535581 4.2963287049106045 46.95513432678231
37550 17.937195860760127 6.4507337083955445 7.141315300052773 4.345146852311224 47.81686623616845
37980 18.11687349281096 6.506445534751431 7.219401104401187 4.39102685365848 48.511442325837926
38410 18.28685595286691 6.553064000278782 7.2960253739822205 4.437766578605885 49.12703078310337
38840 18.438512527749722 6.603269686311941 7.355696923620162 4.479545917817617 49.68038293313487
39270 18.628405534897748 6.668586923222247 7.431718139304849 4.528100472370718 50.21868884909384
39700 18.80889427865441 6.722519279550201 7.510993603220018 4.575381395884127 50.597893422452564
40130 18.97264726656371 6.770461960642373 7.582022497600092 4.620162808321047 50.937016508042625
40560 19.15089692859249 6.826119940994413 7.6517622340580695 4.673014753540278 51.479608680687356
40990 19.3502621890269 6.8979818795486265 7.724044814698815 4.7282354947796 52.113097924045526
41420 19.55016296066888 6.965436025260027 7.805042401520149 4.77968453388844 52.77140300868086
41850 19.745141559563567 7.030405308021374 7.88047065765207 4.83426559389033 53.426176961812665
42280 19.93574366093355 7.097061727194826 7.953888013419675 4.88479392031903 54.181863554624584
42710 20.139743843069706 7.16954501799823 8.033978827424091 4.936219997647437 54.943327424960444
43140 20.329600824242927 7.230250837857949 8.113695500767092 4.985654485617925 55.65900195200655
43570 20.511171971277914 7.28588982990873 8.193948616618124 5.031333524750956 56.423151115808565
44000 20.710987739402263 7.34962344156144 8.279699940162622 5.08166435767794 57.34938908549107
44430 20.914660767642513 7.4177634800527645 8.363731158577496 5.133166129012381 58.0343081875903
44860 21.10576236863203 7.477716881886616 8.4415905697886 5.186454916957329 58.816435472147255
45290 21.298687142024576 7.535629828006741 8.519900192896445 5.2431571211213965 59.65443657891161
45720 21.50354218305081 7.6028923218439886 8.602925450517088 5.2977244106897246 60.525734881853424
46150 21.705001439263455 7.6699701447121305 8.682324522007951 5.352706772543628 61.38951031029913
46580 21.88282268870964 7.715675811521869 8.758999113280035 5.408147763907725 62.36171063318006
47010 22.07298006278455 7.7695377246438575 8.838304914071507 5.46513742406907 63.4184902746623
47440 22.27495767594496 7.829515519145236 8.927999813569363 5.51744234323029 64.39747747503374
47870 22.472509520469632 7.888346416324418 9.00901740758835 5.575145696556696 65.53709419517317
48300 22.635102185257775 7.913957876040366 9.092250754872639 5.628893554344952 66.55039287813734
48730 22.80074034239161 7.95018782423545 9.17459141962765 5.675961098528655 67.5664916773066
49160 22.997084858573853 7.998798119224187 9.265827454103492 5.732459285245964 68.55047642137218
49590 23.17379419097894 8.042342290814737 9.34907890122243 5.782372998941722 69.70354290832627
50020 23.347837106961663 8.084118067202569 9.420335617015432 5.843383422743146 70.99063725117679
50450 23.546921101800464 8.133685728508482 9.505371474678123 5.907863898613443 72.19785327501468
50880 23.742394330290526 8.181493221737034 9.589799687766087 5.971101420787617 73.36051968534645
51310 23.928253882358458 8.229461522114068 9.665933859300814 6.03285850094295 74.67393136759124
51740 24.10856440384066 8.281477078837582 9.74083176206676 6.086255562936225 75.71842637225683
52170 24.284741754197068 8.324713866782826 9.816693064948339 6.14333482246617 76.59311419950846
52600 24.45741798265102 8.369074660421015 9.888665961557104 6.19967736067295 77.5783439802433
53030 24.634683298678645 8.41360041565008 9.963202245041135 6.257880637987291 78.46777899590062
53460 24.779094931611994 8.452923429665331 10.017383193693753 6.308788308252946 79.26336286464668
53890 24.94649134592479 8.501877030808336 10.077366023058802 6.3672482920574325 80.16224173893649
54320 25.11336669227853 8.558640583641889 10.136879467887974 6.417846640748788 81.13716077633656
54750 25.283218965943682 8.617561329222458 10.197137281864064 6.468520354857353 82.23587186410695
55180 25.4526464348295 8.673566139441874 10.261644929398091 6.517435365989372 83.16880938476173
55610 25.608949031966734 8.726032106864924 10.326212116005603 6.556704809096323 84.12760666504603
56040 25.77319006135897 8.782314039269444 10.388246026056512 6.602629996033021 85.13245077188891
56470 25.93268308763006 8.833392670638387 10.446206268806769 6.653084148184542 86.13953884094805
56900 26.100488077004353 8.896225745045594 10.505368228199897 6.698894103758539 87.02915654930239
57330 26.278771921114984 8.95476235983013 10.571922917514177 6.752086643771129 87.89439575201392
57760 26.45465225091562 9.010990211365545 10.640984429708332 6.802677609841882 88.87762708587
58190 26.63872808852774 9.071257111252814 10.712214843070099 6.855256134204812 89.95976645545136
58620 26.799594262837864 9.122108842073594 10.772458401750647 6.905027019013768 91.18462657963836
59050 26.967413969710297 9.172556063250406 10.835757064109007 6.959100842351017 92.32212652414512
59480 27.152529248348173 9.23026363917296 10.906261444528804 7.016004164646418 93.58235603710308
59910 27.3171382875081 9.294539766688214 10.95596279500695 7.066635725813205 95.01187117463627
60340 27.500230829367727 9.358158306851399 11.01404612708297 7.128026395433017 96.42287703906676
60770 27.675428306319738 9.408976294588212 11.084622875823072 7.181829135908637 97.67973825349344
61200 27.845589411128707 9.45229087262155 11.148108991080766 7.245189547426384 98.73157275137027
61630 28.02357194925162 9.50299024691711 11.211840685468164 7.308741016866028 99.9224118332233
62060 28.17992401747326 9.540264226273456 11.267848105194654 7.371811686004895 101.20610110852122
62490 28.341686201950417 9.57024546185797 11.3446583432224 7.42678239687038 102.4824525933929
62920 28.52333688050917 9.610808370928025 11.42412375402309 7.4884047555580535 103.78352353394885
63350 28.71467429163737 9.664950781800721 11.499027891551497 7.550695618285323 105.29246446881695
63780 28.912685302736033 9.72020927476541 11.576952291940112 7.615523736030619 106.849854943957
64210 29.12157400202436 9.767617803998085 11.663111365401438 7.69084483262483 108.49005951809164
64640 29.32707863626517 9.81175756821833 11.748875114779299 7.766445953267425 110.29308218389029
65070 29.549374140902625 9.864236888250343 11.841983359455739 7.843153893196597 111.74600031925539
65500 29.784596685746294 9.927983433234727 11.937883445876297 7.91872980663515 113.10771789282934
