# t MSD MSD_a MSD_b MSD_c MSCD
1000 0.8647763371375092 0.3312709441392033 0.3040379088377986 0.22946748416051543 1.1309491415227741
1430 0.9896776275636675 0.3766193785694941 0.3456472510408914 0.26741099795327566 1.3466426093477482
1860 1.0545998514665198 0.39886598125807365 0.3656177088186943 0.29011616138974144 1.583733687625299
2290 1.1294185332618107 0.4270485555225536 0.3857618696099724 0.3166081081292999 1.7873230622553464
2720 1.2363518083693235 0.4750004497998705 0.4229933049512533 0.3383580536182019 2.0258528116247105
3150 1.3552630783257607 0.5296353030955617 0.4621584153669491 0.3634693598632499 2.263255267193886
3580 1.442233469237076 0.5660248262496704 0.49286888098519294 0.38333976200222153 2.40099765804402
4010 1.527134603539334 0.6023131686348452 0.5207367376387924 0.4040846972657076 2.6284525203326186
4440 1.608672953438232 0.6388874473182482 0.5452827948534403 0.4245027112665521 2.7923059929950136
4870 1.6883844750818553 0.6752079666321138 0.5714273660062309 0.4417491424435149 2.985456273519934
5300 1.7736670243040278 0.7115247340018895 0.6022638066852637 0.4598784836169001 3.207336272149135
5730 1.8559909549849503 0.744509717310354 0.6316193116606459 0.47986192601393374 3.3896246199800473
6160 1.92800798220806 0.7697534208683322 0.6594648934293095 0.4987896679104105 3.5460533476635194
6590 1.992911351101681 0.7932925412748206 0.680738133417493 0.5188806764093684 3.6882364367244906
7020 2.0654106955182736 0.820755915138548 0.7064314522308969 0.5382233281488142 3.8484293952110225
7450 2.143420131711035 0.8505934631421677 0.7348179218822478 0.5580087466865802 3.97031392513067
7880 2.2305324323714775 0.8888350620702645 0.7646009166102935 0.5770964536910003 4.11259879328957
8310 2.314758015288061 0.9218250825124057 0.7941579314306605 0.5987750013450218 4.2491360439129755
8740 2.3793419457731715 0.9476792535656972 0.8134389751633972 0.6182237170440589 4.384681012692609
9170 2.441338960883954 0.9718003409612009 0.828937653607301 0.6406009663154271 4.561558162406829
9600 2.5076578505666105 0.9994801122538056 0.8469650171856014 0.6612127211271797 4.720392087825786
10030 2.5928034301431966 1.0354665624427275 0.8731342163602883 0.6842026513401306 4.887241741737339
10460 2.6840562434811557 1.0717029755514698 0.9066370798876656 0.7057161880419742 5.064199066463093
10890 2.754982021744032 1.1014059064818171 0.9280706771714672 0.7255054380907534 5.248053195328428
11320 2.8166739356127803 1.1268649504181456 0.9424427975132141 0.7473661876813812 5.426172461946977
11750 2.875421564943514 1.1492507873089566 0.9615127965585973 0.7646579810759797 5.600891322883074
12180 2.9521412918139784 1.1782931193572235 0.9885576758755696 0.7852904965810935 5.782938606321396
12610 3.025542446494377 1.2078815765065531 1.0165007451360226 0.8011601248518673 5.977659800076191
13040 3.0975249163339282 1.2404908045026573 1.0368422629612148 0.8201918488700674 6.159524175585421
13470 3.157189963758941 1.2675796963374828 1.0534026506138148 0.8362076168077066 6.384142117396831
13900 3.225925764611197 1.2951878910033525 1.0725470490333975 0.8581908245744622 6.673385369625604
14330 3.3022909204959605 1.3245147778839412 1.1016102558781564 0.8761658867338316 6.8869778117818505
14760 3.387868801292382 1.3560839393438373 1.1341211734007581 0.897663688547798 7.137262135305789
15190 3.463952573056355 1.3847004938361933 1.1617566629612068 0.9174954162589272 7.332988949066913
15620 3.5270872673087896 1.412280806094166 1.1793806142774428 0.9354258469371387 7.604475972421152
16050 3.596901375413107 1.4419589084076814 1.1991025217385305 0.955839945266877 7.841924877691626
16480 3.676267737504995 1.4683489394038658 1.2310027955147422 0.9769160025863429 8.034568449603812
16910 3.758326921496574 1.4991183488747426 1.2622053865836367 0.9970031860380821 8.277152850724983
17340 3.8376148403355432 1.5321600155758577 1.291709508289663 1.0137453164700683 8.524149555001575
17770 3.917352088762779 1.5690990112029228 1.3131974341793207 1.0350556433805007 8.773997092963354
18200 3.981431363433579 1.5992632503211281 1.329940230329205 1.0522278827833331 8.969818953592453
18630 4.050674474974439 1.626569647690425 1.3523595259346655 1.0717453013492888 9.170904989650177
19060 4.1253629257463285 1.654921368058635 1.3812314585854528 1.0892100991022495 9.380154357666717
19490 4.202919758664401 1.6885280614768026 1.4080833786241256 1.106308318563472 9.652862081453087
19920 4.279077398780576 1.7244394436947195 1.4332476132608976 1.1213903418249893 9.88846719285144
20350 4.353201501224965 1.7606538408964905 1.4532015805030531 1.1393460798255166 10.083487369178975
20780 4.414213546432597 1.790754769039938 1.4665733422959766 1.1568854350967253 10.247793252603502
21210 4.479733030849272 1.8181423094435132 1.487054758740485 1.174535962665293 10.340823455265125
21640 4.553573983241814 1.8491859207628896 1.5129531099389009 1.1914349525400767 10.478635609846588
22070 4.627143917245396 1.875256424432621 1.5398216513832543 1.2120658414294865 10.602902579209895
22500 4.701221089217316 1.9089099850033726 1.560669307774467 1.231641796439477 10.703514827559514
22930 4.762041326736604 1.9371073418694276 1.5758228480953858 1.249111136771776 10.78164197426393
23360 4.814219725857907 1.9596160594988796 1.5886378599838218 1.2659658063750483 10.981376516922388
23790 4.887041211308572 1.9824340893759103 1.6190857786162947 1.2855213433163024 11.05203175047658
24220 4.961637294037827 2.0105231502145395 1.6492779644974842 1.301836179325846 11.172312456690328
24650 5.0383977131222455 2.0387189130903693 1.677576034209929 1.3221027658219333 11.291752484414955
25080 5.106574267717517 2.0706773994875736 1.6948951098131808 1.3410017584166838 11.450484755548503
25510 5.165599978013421 2.0954123461358933 1.7119738247360654 1.358213807141403 11.59833180428877
25940 5.234831049097205 2.1168474849832624 1.7371364186611753 1.3808471454527762 11.748736025205114
26370 5.310196215833229 2.1418002307932595 1.7706622080722514 1.39773377696772 11.923003501107466
26800 5.394447184334052 2.1744433459255372 1.8025596215217703 1.4174442168867492 12.138452984199468
27230 5.468898179930552 2.2060706987522662 1.828195601194593 1.4346318799836943 12.404187455252707
27660 5.543455505174625 2.2363808956780598 1.8531694119442044 1.4539051975523645 12.59669154082872
28090 5.6159775535046315 2.25658612226533 1.8847390411186353 1.474652390120572 12.776719717909936
28520 5.6914524372246325 2.2750207361485355 1.9202507909436488 1.4961809101324621 13.010267434492901
28950 5.771292629658591 2.3012876534038305 1.954641085698614 1.5153638905562985 13.212244767216067
29380 5.851488924064205 2.332576808457253 1.9826794305162456 1.5362326850906063 13.407278681668664
29810 5.925426573286263 2.3609517968631155 2.007966434183789 1.5565083422393013 13.586572305931577
30240 5.997905915544172 2.383511807842628 2.038257914718591 1.5761361929830238 13.724081219578862
30670 6.068552531367444 2.399977363984087 2.0715679505631193 1.5970072168202603 13.878421619009401
31100 6.146419011444649 2.4249767672440368 2.1022878928753213 1.6191543513252493 14.120222219678316
31530 6.231858709939303 2.458382497849496 2.1333589381540787 1.6401172739358685 14.327783660539579
31960 6.3092737812982875 2.494024313414276 2.1507149594608665 1.6645345084231224 14.619906621484667
32390 6.386013802893715 2.5287666115415215 2.170674916591154 1.6865722747609853 14.900755226523433
32820 6.4518655623024905 2.5528025695005665 2.1895892274582036 1.7094737653437193 15.122323657174917
33250 6.512003861488105 2.5706408836983115 2.213793848261772 1.7275691295280262 15.319368787784098
33680 6.5925321282743115 2.5979645174191055 2.2426915183926073 1.751876092462665 15.563751350856693
34110 6.669290967771908 2.636563739494982 2.2579076891640706 1.7748195391129893 15.679584150813014
34540 6.72965981649482 2.6689601528886584 2.264064461336303 1.796635202269998 15.835408837784591
34970 6.790935079821836 2.6941210225565753 2.274719576710458 1.8220944805548636 16.05039060097376
35400 6.862856725088449 2.720090569696957 2.295848919220734 1.8469172361707291 16.203981866508762
35830 6.936714573520728 2.7457842317163967 2.326067299486343 1.8648630423179409 16.454059958151287
36260 7.027174142251647 2.7783136806569706 2.358495527087875 1.8903649345067624 16.678253539544556
36690 7.102128987578345 2.811930781789894 2.374475210022301 1.91572299576611 16.891382299927752
