# t MSD MSD_a MSD_b MSD_c MSCD
1000 0.9717558485624967 0.3388578272895578 0.35975112629059575 0.2731468949823479 1.213252175110802
1430 1.0817028134750053 0.37354872893051305 0.39625719665258735 0.31189688789191344 1.44203084231041
1860 1.1544306640579154 0.38988129867978666 0.4237359801913148 0.340813385186809 1.560612539785211
2290 1.2454656261552086 0.41703219335101427 0.4572214140075135 0.3712120187966724 1.7490061484321346
2720 1.3573807123165287 0.45299781887084023 0.5027923632691841 0.4015905301764498 1.946118720264714
3150 1.4721947075660295 0.4873412832181448 0.5510119038562299 0.4338415204916555 2.1072617692830553
3580 1.562543094170671 0.5124784703863494 0.5842548017331689 0.46580982205110616 2.257518633922689
4010 1.6453532940942686 0.5358749033141929 0.6138473668154408 0.4956310239646244 2.406616815446432
4440 1.743286242785827 0.5627255238291833 0.6525076554491746 0.5280530635074696 2.5710637350417826
4870 1.8336471746864795 0.5891323863037118 0.6891873706453213 0.5553274177374412 2.735397107973866
5300 1.9325747181891038 0.6163262175307458 0.7288357006124775 0.587412800045879 2.9394315420702615
5730 2.024414039607439 0.6386713529231719 0.7674224374866889 0.6183202491975395 3.104706986058062
6160 2.1101911437719028 0.663145382752971 0.8024609909446198 0.6445847700742846 3.1839038774276744
6590 2.208214204082883 0.684584447018721 0.8408415777300589 0.6827881793341114 3.3807898885451126
7020 2.293906844159048 0.7084046269107485 0.873721564091236 0.7117806531570369 3.553392461817731
7450 2.3834757247441356 0.7302591148597138 0.9117232850000201 0.7414933248843568 3.711526597152084
7880 2.471088244339912 0.7542181251227396 0.9473441136468786 0.7695260055702893 3.907685207538097
8310 2.5684640508569974 0.7784855599374201 0.9886996346874725 0.8012788562321196 4.023873110532608
8740 2.657990553159894 0.8011706199415924 1.02720881103092 0.8296111221873517 4.174427322957713
9170 2.755478725587989 0.8242492155535928 1.0671048474624167 0.8641246625719988 4.311935168396036
9600 2.8384263774643235 0.8461127472207608 1.0988747012005138 0.893438929043095 4.450126959336451
10030 2.9239477085662813 0.8690441077742391 1.1292680092461658 0.9256355915458284 4.611980866758916
10460 3.0152337433437837 0.891720657107581 1.1678099477185682 0.9557031385176206 4.752018977021935
10890 3.110147516487858 0.9141498069662614 1.208581064545185 0.9874166449764666 4.928930013689441
11320 3.202523415917011 0.9357766218533016 1.2481479361095629 1.0185988579541538 5.165554614355841
11750 3.2988666445187977 0.9607842833173396 1.2863981309494108 1.0516842302520182 5.305732216432959
12180 3.394142585847835 0.9874379585782423 1.3232320147688537 1.0834726125007752 5.494265311947857
12610 3.488719152485078 1.0122166927561322 1.364756440457971 1.1117460192710098 5.601619116051854
13040 3.58048781898425 1.0362254117174226 1.402830339974186 1.1414320672926752 5.668500710610714
13470 3.671399696868458 1.0557735691610324 1.446741422946922 1.16888470476055 5.786967029475655
13900 3.764255560717537 1.0845689467266229 1.4826674284557348 1.197019185535144 5.911544894450587
14330 3.848167365680134 1.1102000182029996 1.5153166546058343 1.2226506928713317 6.0633674481781865
